Date,location,new_cases,new_deaths,total_cases,total_deaths,recover,total_recover,icu,support,Active Cases,index
31/12/2019,Malaysia,0,0,0,0,0,0,0,0,,0
1/1/2020,Malaysia,0,0,0,0,0,0,0,0,,1
2/1/2020,Malaysia,0,0,0,0,0,0,0,0,,2
3/1/2020,Malaysia,0,0,0,0,0,0,0,0,,3
4/1/2020,Malaysia,0,0,0,0,0,0,0,0,,4
5/1/2020,Malaysia,0,0,0,0,0,0,0,0,,5
6/1/2020,Malaysia,0,0,0,0,0,0,0,0,,6
7/1/2020,Malaysia,0,0,0,0,0,0,0,0,,7
8/1/2020,Malaysia,0,0,0,0,0,0,0,0,,8
9/1/2020,Malaysia,0,0,0,0,0,0,0,0,,9
10/1/2020,Malaysia,0,0,0,0,0,0,0,0,,10
11/1/2020,Malaysia,0,0,0,0,0,0,0,0,,11
12/1/2020,Malaysia,0,0,0,0,0,0,0,0,,12
13/1/2020,Malaysia,0,0,0,0,0,0,0,0,,13
14/1/2020,Malaysia,0,0,0,0,0,0,0,0,,14
15/1/2020,Malaysia,0,0,0,0,0,0,0,0,,15
16/1/2020,Malaysia,0,0,0,0,0,0,0,0,,16
17/1/2020,Malaysia,0,0,0,0,0,0,0,0,,17
18/1/2020,Malaysia,0,0,0,0,0,0,0,0,,18
19/1/2020,Malaysia,0,0,0,0,0,0,0,0,,19
20/1/2020,Malaysia,0,0,0,0,0,0,0,0,,20
21/1/2020,Malaysia,0,0,0,0,0,0,0,0,,21
22/1/2020,Malaysia,0,0,0,0,0,0,0,0,,22
23/1/2020,Malaysia,0,0,0,0,0,0,0,0,,23
24/1/2020,Malaysia,3,0,3,0,0,0,0,0,3,24
25/1/2020,Malaysia,1,0,4,0,0,0,0,0,4,25
26/1/2020,Malaysia,0,0,4,0,0,0,0,0,4,26
27/1/2020,Malaysia,0,0,4,0,0,0,0,0,4,27
28/1/2020,Malaysia,3,0,7,0,0,0,0,0,7,28
29/1/2020,Malaysia,0,0,7,0,0,0,0,0,7,29
30/1/2020,Malaysia,1,0,8,0,0,0,0,0,8,30
31/1/2020,Malaysia,0,0,8,0,0,0,0,0,8,31
1/2/2020,Malaysia,0,0,8,0,0,0,0,0,8,32
2/2/2020,Malaysia,0,0,8,0,0,0,0,0,8,33
3/2/2020,Malaysia,0,0,8,0,1,1,0,0,7,34
4/2/2020,Malaysia,2,0,10,0,0,1,0,0,9,35
5/2/2020,Malaysia,2,0,12,0,0,1,0,0,11,36
6/2/2020,Malaysia,2,0,14,0,0,1,0,0,13,37
7/2/2020,Malaysia,1,0,15,0,1,2,0,0,13,38
8/2/2020,Malaysia,1,0,16,0,1,3,0,0,13,39
9/2/2020,Malaysia,2,0,18,0,0,3,0,0,15,40
10/2/2020,Malaysia,0,0,18,0,0,3,0,0,15,41
11/2/2020,Malaysia,0,0,18,0,0,3,0,0,15,42
12/2/2020,Malaysia,0,0,18,0,0,3,0,0,15,43
13/2/2020,Malaysia,1,0,19,0,4,7,0,0,12,44
14/2/2020,Malaysia,2,0,21,0,0,7,0,0,14,45
15/2/2020,Malaysia,1,0,22,0,1,8,0,0,14,46
16/2/2020,Malaysia,0,0,22,0,1,9,0,0,13,47
17/2/2020,Malaysia,0,0,22,0,4,13,0,0,9,48
18/2/2020,Malaysia,0,0,22,0,4,17,0,0,5,49
19/2/2020,Malaysia,0,0,22,0,0,17,0,0,5,50
20/2/2020,Malaysia,0,0,22,0,0,17,0,0,5,51
21/2/2020,Malaysia,0,0,22,0,0,17,0,0,5,52
22/2/2020,Malaysia,0,0,22,0,1,18,0,0,4,53
23/2/2020,Malaysia,0,0,22,0,2,20,0,0,2,54
24/2/2020,Malaysia,0,0,22,0,0,20,0,0,2,55
25/2/2020,Malaysia,0,0,22,0,0,20,0,0,2,56
26/2/2020,Malaysia,0,0,22,0,2,22,0,0,0,57
27/2/2020,Malaysia,1,0,23,0,0,22,0,0,1,58
28/2/2020,Malaysia,2,0,25,0,0,22,0,0,3,59
29/2/2020,Malaysia,0,0,25,0,0,22,0,0,3,60
1/3/2020,Malaysia,4,0,29,0,0,22,0,0,7,61
2/3/2020,Malaysia,0,0,29,0,0,22,0,0,7,62
3/3/2020,Malaysia,7,0,36,0,0,22,0,0,14,63
4/3/2020,Malaysia,14,0,50,0,0,22,0,0,28,64
5/3/2020,Malaysia,0,0,50,0,0,22,0,0,28,65
6/3/2020,Malaysia,33,0,83,0,1,23,0,0,60,66
7/3/2020,Malaysia,10,0,93,0,0,23,0,0,70,67
8/3/2020,Malaysia,6,0,99,0,1,24,0,0,75,68
9/3/2020,Malaysia,18,0,117,0,0,24,0,0,93,69
10/3/2020,Malaysia,12,0,129,0,1,25,0,0,104,70
11/3/2020,Malaysia,20,0,149,0,1,26,2,2,123,71
12/3/2020,Malaysia,9,0,158,0,6,32,3,3,126,72
13/3/2020,Malaysia,39,0,197,0,1,33,4,4,164,73
14/3/2020,Malaysia,41,0,238,0,2,35,5,5,203,74
15/3/2020,Malaysia,190,0,428,0,7,42,9,9,386,75
16/3/2020,Malaysia,125,0,553,0,0,42,12,12,511,76
17/3/2020,Malaysia,120,2,673,2,7,49,12,12,622,77
18/3/2020,Malaysia,117,0,790,2,11,60,15,15,728,78
19/3/2020,Malaysia,110,0,900,2,15,75,20,20,823,79
20/3/2020,Malaysia,130,0,1030,2,12,87,26,26,941,80
