,Date,Name of State / UT,Latitude,Longitude,Total Confirmed cases,Death,Cured/Discharged/Migrated,index,coronaenquirycalls,cumulativepeopleinquarantine,negative,numcallsstatehelpline,numicubeds,numisolationbeds,numventilators,populationncp2019projection,positive,source1,state,tagpeopleinquarantine,tagtotaltested,testpositivityrate,testspermillion,testsperpositivecase,testsperthousand,totaln95masks,totalpeoplecurrentlyinquarantine,totalpeoplereleasedfromquarantine,totalppe,totaltested,unconfirmed,Active Cases
89,30/1/2020,,,,,,,0,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
90,31/1/2020,,,,,,,1,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
91,1/2/2020,,,,,,,2,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
92,2/2/2020,,,,,,,3,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
93,3/2/2020,,,,,,,4,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
94,4/2/2020,,,,,,,5,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
95,5/2/2020,,,,,,,6,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
96,6/2/2020,,,,,,,7,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
97,7/2/2020,,,,,,,8,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
98,8/2/2020,,,,,,,9,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
99,9/2/2020,,,,,,,10,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
100,10/2/2020,,,,,,,11,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
101,11/2/2020,,,,,,,12,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
102,12/2/2020,,,,,,,13,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
103,13/2/2020,,,,,,,14,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
104,14/2/2020,,,,,,,15,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
105,15/2/2020,,,,,,,16,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
106,16/2/2020,,,,,,,17,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
107,17/2/2020,,,,,,,18,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
108,18/2/2020,,,,,,,19,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
109,19/2/2020,,,,,,,20,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
110,20/2/2020,,,,,,,21,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
111,21/2/2020,,,,,,,22,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
112,22/2/2020,,,,,,,23,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
113,23/2/2020,,,,,,,24,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
114,24/2/2020,,,,,,,25,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
115,25/2/2020,,,,,,,26,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
116,26/2/2020,,,,,,,27,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
117,27/2/2020,,,,,,,28,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
118,28/2/2020,,,,,,,29,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
119,29/2/2020,,,,,,,30,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
120,1/3/2020,,,,,,,31,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
121,2/3/2020,,,,,,,32,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
122,3/3/2020,,,,,,,33,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
123,4/3/2020,,,,,,,34,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
124,5/3/2020,,,,,,,35,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
125,6/3/2020,,,,,,,36,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
126,7/3/2020,,,,,,,37,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
127,8/3/2020,,,,,,,38,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,
0,9/3/2020,Maharashtra,19.7515,75.7139,2,0,0,39,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,2
1,10/3/2020,Maharashtra,19.7515,75.7139,5,0,0,40,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,5
2,11/3/2020,Maharashtra,19.7515,75.7139,10,0,0,41,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,10
3,12/3/2020,Maharashtra,19.7515,75.7139,11,0,0,42,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,11
4,13/3/2020,Maharashtra,19.7515,75.7139,11,0,0,43,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,11
5,14/3/2020,Maharashtra,19.7515,75.7139,14,0,0,44,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,14
6,15/3/2020,Maharashtra,19.7515,75.7139,32,0,0,45,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,32
7,16/3/2020,Maharashtra,19.7515,75.7139,32,0,0,46,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,32
8,17/3/2020,Maharashtra,19.7515,75.7139,39,1,0,47,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,38
9,18/3/2020,Maharashtra,19.7515,75.7139,42,1,0,48,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,41
10,19/3/2020,Maharashtra,19.7515,75.7139,47,1,0,49,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,46
11,20/3/2020,Maharashtra,19.7515,75.7139,47,1,0,50,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,46
12,21/3/2020,Maharashtra,19.7515,75.7139,63,1,0,51,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,62
13,22/3/2020,Maharashtra,19.7515,75.7139,67,2,0,52,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,65
14,23/3/2020,Maharashtra,19.7515,75.7139,74,2,0,53,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,72
15,24/3/2020,Maharashtra,19.7515,75.7139,89,2,0,54,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,87
16,25/3/2020,Maharashtra,19.7515,75.7139,128,3,1,55,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,124
17,26/3/2020,Maharashtra,19.7515,75.7139,124,3,1,56,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,120
18,27/3/2020,Maharashtra,19.7515,75.7139,130,4,15,57,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,111
19,28/3/2020,Maharashtra,19.7515,75.7139,180,5,25,58,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,150
20,29/3/2020,Maharashtra,19.7515,75.7139,186,6,25,59,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,155
21,30/3/2020,Maharashtra,19.7515,75.7139,193,8,25,60,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,160
22,31/3/2020,Maharashtra,19.7515,75.7139,216,9,39,61,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,168
23,1/4/2020,Maharashtra,19.7515,75.7139,302,9,39,62,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,254
24,2/4/2020,Maharashtra,19.7515,75.7139,335,13,42,63,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,280
25,3/4/2020,Maharashtra,19.7515,75.7139,335,16,42,64,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,277
26,4/4/2020,Maharashtra,19.7515,75.7139,423,19,42,65,0,0,0,0,0,0,0,0,0,0,Maharashtra,0,0,0,0,0,0,0,0,0,0,0,0,362
27,5/4/2020,Maharashtra,19.7515,75.7139,490,24,42,66,0,0,14837,0,0,0,0,122153000,0,0,Maharashtra,0,Tested,0,131,0,0.13,0,0,0,0,16008,0,424
28,6/4/2020,Maharashtra,19.7515,75.7139,690,45,42,67,0,0,15808,0,0,0,0,122153000,868,https://www.cnbctv18.com/healthcare/maharashtra-covid-19-tally-mounts-to-868-with-7-fresh-deaths-5634351.htm,Maharashtra,0,Tested,4.94,144,20,0.14,0,0,0,0,17563,0,603
29,7/4/2020,Maharashtra,19.7515,75.7139,748,45,56,68,0,0,19290,0,0,0,0,122153000,1018,https://arogya.maharashtra.gov.in/pdf/covidepressnote07.pdf,Maharashtra,0,Tested,4.88,171,21,0.17,0,0,0,0,20877,569,647
30,8/4/2020,Maharashtra,19.7515,75.7139,1018,64,79,69,0,0,19290,0,0,0,0,122153000,1018,https://arogya.maharashtra.gov.in/pdf/covidepressnote07.pdf,Maharashtra,0,Tested,4.88,171,21,0.17,0,0,0,0,20877,569,875
31,9/4/2020,Maharashtra,19.7515,75.7139,1135,72,117,70,0,0,19290,0,0,0,0,122153000,868,https://twitter.com/Maha_MEDD/status/1248156898894811136,Maharashtra,0,Tested,4.16,171,24,0.17,0,0,0,0,20877,715,946
32,10/4/2020,Maharashtra,19.7515,75.7139,1364,97,125,71,0,0,28865,0,0,0,0,122153000,1135,https://twitter.com/Maha_MEDD/status/1248484537216065536,Maharashtra,0,Tested,3.78,246,26,0.25,0,0,0,0,30000,715,1142
33,11/4/2020,Maharashtra,19.7515,75.7139,1574,110,188,72,0,0,30477,0,0,0,0,122153000,1761,https://twitter.com/Maha_MEDD/status/1248859409419132929?s=19,Maharashtra,0,Tested,5.53,261,18,0.26,0,0,0,0,31841,715,1276
34,12/4/2020,Maharashtra,19.7515,75.7139,1761,127,208,73,0,0,34094,0,0,0,0,122153000,1761,https://twitter.com/Maha_MEDD/status/1249210483812548608?s=19,Maharashtra,0,Tested,4.94,292,20,0.29,0,0,0,0,35668,715,1426
35,13/4/2020,Maharashtra,19.7515,75.7139,1985,149,217,74,0,0,37964,0,0,0,0,122153000,1996,https://twitter.com/Maha_MEDD/status/1249593448820125697,Maharashtra,0,Tested,5.02,325,20,0.33,0,0,0,0,39725,715,1619
36,14/4/2020,Maharashtra,19.7515,75.7139,2337,160,229,75,0,0,39089,0,0,0,0,122153000,2340,https://twitter.com/Maha_MEDD/status/1249943643357511680?s=19,Maharashtra,0,Tested,5.7,336,18,0.34,0,0,0,0,41071,715,1948
37,15/4/2020,Maharashtra,19.7515,75.7139,2687,178,259,76,0,0,42808,0,0,0,0,122153000,2690,https://twitter.com/Maha_MEDD/status/1250306461097320448,Maharashtra,0,Tested,5.96,370,17,0.37,0,0,0,0,45142,715,2250
38,16/4/2020,Maharashtra,19.7515,75.7139,2916,187,295,77,0,0,48198,0,0,0,0,122153000,2916,https://twitter.com/Maha_MEDD/status/1250659519840968704,Maharashtra,0,Tested,5.73,417,17,0.42,0,0,0,0,50882,715,2434
39,17/4/2020,Maharashtra,19.7515,75.7139,3205,194,300,78,0,0,52762,0,0,0,0,122153000,3204,https://twitter.com/Maha_MEDD/status/1251045031869214720,Maharashtra,0,Tested,5.75,456,17,0.46,0,0,0,0,55678,715,2711
40,18/4/2020,Maharashtra,19.7515,75.7139,3323,201,331,79,0,0,56964,0,0,0,0,122153000,3323,https://twitter.com/Maha_MEDD/status/1251399078555947008,Maharashtra,0,Tested,5.52,493,18,0.49,0,0,0,0,60166,715,2791
41,19/4/2020,Maharashtra,19.7515,75.7139,3651,211,365,80,0,0,63476,0,0,0,0,122153000,3651,https://twitter.com/Maha_MEDD/status/1251760884512243714,Maharashtra,0,Tested,5.47,547,18,0.55,0,0,0,0,66796,715,3075
42,20/4/2020,Maharashtra,19.7515,75.7139,4203,223,507,81,0,0,67673,0,0,0,0,122153000,4204,https://twitter.com/Maha_MEDD/status/1252114391090130947,Maharashtra,0,Tested,5.89,584,17,0.58,0,0,0,0,71321,715,3473
43,21/4/2020,Maharashtra,19.7515,75.7139,4666,232,572,82,0,0,71638,0,0,0,0,122153000,4676,https://twitter.com/Maha_MEDD/status/1252467996393537536,Maharashtra,0,Tested,6.17,621,16,0.62,0,0,0,0,75838,715,3862
44,22/4/2020,Maharashtra,19.7515,75.7139,5218,251,722,83,0,0,77638,0,0,0,0,122153000,5229,https://twitter.com/Maha_MEDD/status/1252842842268950530,Maharashtra,0,Tested,6.35,674,16,0.67,0,0,0,0,82304,715,4245
45,23/4/2020,Maharashtra,19.7515,75.7139,5652,269,789,84,0,0,83979,0,0,0,0,122153000,5218,https://twitter.com/Maha_MEDD/status/1253199854890713089,Maharashtra,0,Tested,5.85,730,17,0.73,0,0,0,0,89197,715,4594
