,Date,Name of State / UT,Total Confirmed cases,Death,Cured/Discharged/Migrated,index,Active Cases
,,,113010,471,88941,,23598
89,1/1/2021,Malaysia,2068,3,2230,0,23433
90,2/1/2021,Malaysia,2295,9,3321,1,22398
91,3/1/2021,Malaysia,1704,11,2726,2,21365
92,4/1/2021,Malaysia,1741,7,1010,3,22089
93,5/1/2021,Malaysia,2027,8,1221,4,22887
94,6/1/2021,Malaysia,2593,4,1129,5,24347
95,7/1/2021,Malaysia,3027,8,2145,6,25221
96,8/1/2021,Malaysia,2643,16,2708,7,25140
97,9/1/2021,Malaysia,2451,5,1401,8,26185
98,10/1/2021,Malaysia,2433,9,1277,9,27332
99,11/1/2021,Malaysia,2232,4,1006,10,28554
100,12/1/2021,Malaysia,3309,4,1469,11,30390
101,13/1/2021,Malaysia,2985,4,994,12,32377
102,14/1/2021,Malaysia,3337,15,1710,13,33989
103,15/1/2021,Malaysia,3211,8,1939,14,35253
104,16/1/2021,Malaysia,4029,8,2148,15,37126
105,17/1/2021,Malaysia,3339,7,2676,16,37782
106,18/1/2021,Malaysia,3306,4,2293,17,38791
107,19/1/2021,Malaysia,3631,14,2944,18,39464
108,20/1/2021,Malaysia,4008,11,2374,19,41087
109,21/1/2021,Malaysia,3170,12,2490,20,41755
110,22/1/2021,Malaysia,3631,18,2554,21,42814
111,23/1/2021,Malaysia,4275,7,4313,22,42769
112,24/1/2021,Malaysia,3346,11,4427,23,41677
113,25/1/2021,Malaysia,3048,11,3638,24,41076
114,26/1/2021,Malaysia,3585,11,4076,25,40574
115,27/1/2021,Malaysia,3680,7,1858,26,42389
116,28/1/2021,Malaysia,4094,10,3281,27,43192
117,29/1/2021,Malaysia,5725,16,3423,28,45478
118,30/1/2021,Malaysia,5728,13,3805,29,47388
119,31/1/2021,Malaysia,5298,14,4522,30,48150
120,1/2/2021,Malaysia,4214,10,4280,31,48074
121,2/2/2021,Malaysia,3455,21,3661,32,47847
122,3/2/2021,Malaysia,4284,18,3804,33,48309
123,4/2/2021,Malaysia,4571,17,4092,34,48771
124,5/2/2021,Malaysia,3391,19,3392,35,48751
125,6/2/2021,Malaysia,3847,12,1692,36,50894
126,7/2/2021,Malaysia,3731,15,3369,37,51241
